"","ADM_RATE","ACTCMMID","UGDS","TUITIONFEE_IN","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","PFTFTUG1_EF","AGE_ENTRY","yvals","names"
"6621",0.9117,22,9714,3880,3738,14818,6917,0.9481,0.4803,23.130877034,0.3759,"University of Alabama at Birmingham"
"6623",0.905,25,4664,3764,3780,6036,6283,0.6055,0.3199,23.506841505,0.3659,"University of Alabama in Huntsville"
"6624",0.6931,16,5074,2904,3260,4067,4952,0.6021,0.8579,21.165232358,0.2071,"Alabama State University"
"6625",0.8462,24,15091,3556,4004,5762,6457,0.8313,0.6705,21.339236185,0.6276,"The University of Alabama"
"6628",0.9925,20,3358,3620,3663,4455,5732,0.5683,0.4277,23.848370335,0.2646,"Auburn University at Montgomery"
"6629",0.8289,24,19456,3784,5388,6081,7084,0.8745,0.7483,20.508533043,0.6751,"Auburn University"
"6631",0.8948,26,1316,17650,31818,19888,6042,0.5904,0.8808,19.711779449,0.7473,"Birmingham Southern College"
"6650",0.771,24,569,13800,6138,7154,4798,0.6377,0.8586,21.313953488,0.4909,"Huntingdon College"
"6660",0.3986,21,1612,3498,3353,4124,4628,1,0.5791,22.576075551,0.3137,"University of West Alabama"
"6665",0.7261,22,2474,3506,3719,4295,4783,0.6823,0.6498,21.911415525,0.4289,"University of Montevallo"
"6667",0.8413,21,4826,3140,3089,3590,5297,1,0.5688,22.603547459,0.3709,"University of North Alabama"
"6669",0.5478,19,1783,10194,7446,5418,4140,0.6456,0.9881,21.8,0.3827,"Oakwood University"
"6674",0.8859,25,2812,12294,9293,7742,6306,0.6326,0.8195,21.995088409,0.6749,"Samford University"
"6677",0.9279,22,4758,3410,3041,6510,5762,0.6842,0.4052,23.991570541,0.3433,"University of South Alabama"
"6680",0.8057,24,1169,18092,9711,5134,5070,0.5528,0.7599,21.881081081,0.6318,"Spring Hill College"
"6682",0.4644,17,1441,7848,8363,3534,4068,1,1,20.930541369,0.8837,"Stillman College"
"6683",0.4209,17,417,6727,4414,6085,3752,1,0.8151,20.363057325,0.5328,"Talladega College"
"6685",0.6875,23,1514,3220,3550,4082,5167,1,0.0888,28.779270633,0.3125,"TROY STATE UNIVERSITY DOTHAN"
"6688",0.7244,21,4976,3532,4517,3104,4888,0.399,0.2753,26.77422462,0.5643,"Troy University"
"6689",0.6704,19,1075,10784,17353,15044,4773,0.8585,0.2849,19.746217331,0.4951,"Tuskegee University"
"6695",0.9273,24,409,11680,9275,6541,4859,1,0.1643,28.309090909,0.5172,"Alaska Pacific University"
"6715",0.8474,23,35573,2585,4452,6396,7432,0.8498,0.5612,23.379046047,0.5191,"Arizona State University-Tempe"
"6717",0.8558,24,27539,2593,4750,9311,7863,0.8012,0.7227,21.982430939,0.5457,"University of Arizona"
"6731",0.7809,24,1651,18420,14089,8880,5699,0.701,0.674,23.414410172,0.5671,"Embry-Riddle Aeronautical University-Prescott"
"6733",0.594,22,1501,14353,8100,5218,4063,0.91,0.3741,25.597802198,0.4853,"Grand Canyon University"
"6747",0.8148,23,11181,2585,3002,5262,5712,0.9601,0.5572,23.875244618,0.4566,"Northern Arizona University"
"6772",0.9739,20,9192,2850,3046,4276,5632,0.6181,0.3279,25.17227392,0.2214,"University of Arkansas at Little Rock"
"6777",0.7384,25,503,11940,5275,10071,4943,0.75,1,21.183333333,0.5116,"Lyon College"
"6780",0.8611,25,12565,4456,3741,6356,6643,0.9424,0.6413,21.914139057,0.4558,"University of Arkansas"
"6781",0.7192,16,2971,3458,1286,3894,4574,0.7778,0.8359,21.35788895,0.2748,"University of Arkansas at Pine Bluff"
"6783",0.7265,22,8826,4480,2115,4449,5078,0.7461,0.6287,24.283718357,0.3643,"Arkansas State University-Main Campus"
"6784",0.5188,22,5243,3076,1856,3228,5026,0.6129,0.971,23.341962288,0.4072,"Arkansas Tech University"
"6791",0.678,24,7638,3990,2511,4435,4946,0.7587,0.7689,21.690125477,0.3674,"University of Central Arkansas"
"6792",0.8133,21,382,6984,6356,3015,3159,1,0.9891,22.203539823,0.4886,"Central Baptist College"
"6808",0.7786,23,4089,9180,6699,5336,5039,1,0.8293,20.407578085,0.5674,"Harding University"
"6809",0.6871,22,3144,3252,2564,8254,5091,0.9814,0.6836,22.594859241,0.2969,"Henderson State University"
"6813",0.9914,25,1517,13044,6626,5636,4736,1,0.6273,26.353971963,0.5564,"John Brown University"
"6824",0.9135,24,1653,12010,3886,5114,5084,0.7048,0.8186,19.966555184,0.5188,"Ouachita Baptist University"
"6827",0.8403,22,703,10562,5622,7103,4971,0.7049,1,20.274193548,0.4455,"University of the Ozarks"
"6839",0.6944,21,612,7650,4255,2284,4007,0.5909,0.7255,21.569148936,0.4022,"Williams Baptist College"
"6842",0.9914,20,2747,3006,1559,3706,4884,1,0.9947,22.399283154,0.2942,"Southern Arkansas University Main Campus"
"6870",0.809,23,4059,17140,11894,5875,5625,1,0.9382,26.56848829,0.5543,"Azusa Pacific University"
"6876",0.7667,24,3049,18456,11209,6801,5582,0.5127,0.5462,22.830269608,0.6265,"Biola University"
"6886",0.8266,22,1596,12790,9583,4705,5132,0.4777,0.4039,26.463529412,0.4703,"California Baptist University"
"6890",0.7345,25,1891,19050,10866,6498,5905,1,1,21.902150538,0.7031,"California Lutheran University"
"6910",0.6284,24,22646,4630,4653,13071,8643,0.8149,0.479,21.015973298,0.7821,"University of California-Davis"
"6912",0.2689,26,24899,4225,5827,20889,9838,0.7773,0.6377,21.337353155,0.8455,"University of California-Los Angeles"
"6914",0.4239,29,19059,4493,4814,13354,9354,0.8512,0.7074,20.494398585,0.8122,"University of California-San Diego"
"6917",0.8075,24,12839,4385,5223,8299,8112,0.705,0.7381,20.634715026,0.668,"University of California-Santa Cruz"
